0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2015-05-12,7317.838,7028.988,7142.078,6655.728,6617.988,7149.538,7356.328,8152.358,8573.008,8898.478,9119.788,8079.268,7978.758,8402.993,8715.598,8903.028,9387.118,9463.408,9362.028,8757.368,8581.068,8118.338,7658.848,7260.978
2015-05-13,6925.481,6833.461,6803.824,6724.881,6930.953,7254.632,7988.661,8445.131,9050.63,9442.805,9537.806,8887.846,8791.455,9130.147,9681.731,9643.623,9694.172,9967.002,9610.645,9029.132,8911.316,8536.059,8195.213,7592.572
2015-05-14,7497.649,7199.852,7158.181,7143.555,7267.357,7486.554,7922.891,8720.654,9380.454,9810.963,9893.186,9385.327,9189.502,9636.629,9838.807,9858.232,9965.209,9925.984,9843.677,9546.299,9590.358,9332.294,8884.728,8248.538
2015-05-15,7845.4,7733.332,7509.528,7468.566,7498.311,7791.614,8013.693,8998.648,9745.43,10199.383,10297.861,9488.395,9645.683,9980.338,10239.836,10089.797,9988.299,9518.122,9809.559,9410.89,9638.306,9519.802,8994.835,8399.741
2015-05-18,7210.365,6887.636,6830.431,6754.097,6693.293,7093.432,7646.621,8893.377,9561.303,10036.63,10266.708,9414.148,9502.633,9868.721,10047.897,9898.244,9780.303,9708.011,9932.386,9579.311,9840.272,9684.784,9079.623,8709.006
2015-05-19,7506.644,7150.558,7072.268,7002.315,6911.374,6940.306,7415.694,8264.607,8874.754,9666.304,9653.851,8989.916,9156.74,9410.594,9578.292,9434.244,9427.274,8979.941,9074.643,8821.894,9100.236,8933.686,8737.647,8180.351
2015-05-20,8296.552,8073.242,7788.406,7681.288,7689.175,7767.732,7939.386,8612.945,9519.67,10210.155,10324.926,9614.623,9771.834,10026.104,10280.141,10045.827,9982.923,9750.105,10063.328,9914.849,10111.293,9757.178,9179.166,8482.841
2015-05-21,8222.333,7814.376,7687.322,7419.332,7429.33,7510.204,7814.58,8850.348,9364.801,9920.078,10017.682,9393.003,9430.523,9918.514,10043.765,9847.808,9926.365,9675.287,9681.816,9490.367,9585.823,9105.363,8595.297,7955.635
2015-05-22,7664.055,7515.282,7426.769,7209.835,7905.785,7527.1,8273.622,8942.86,9878.077,10398.548,10471.277,9795.484,9986.066,10263.971,10288.619,10088.985,9997.934,9803.274,10041.427,9747.432,9916.807,9798.926,9186.464,8551.008
2015-05-25,7114.137,6847.326,6959.948,6885.522,6825.854,7159.394,7668.577,8870.653,9607.331,10222.518,10231.224,9611.361,9780.826,10092.679,10205.756,10023.029,10016.635,9692.202,10040.805,9869.581,9960.913,9838.82,9677.323,8913.229
2015-05-26,8506.943,8265.731,7946.29,7794.165,7810.187,7702.642,8118.205,9210.579,10054.922,10691.465,10661.83,10044.254,10290.682,10551.206,10578.968,10350.589,9927.097,9715.732,9998.09,9912.459,10241.305,10328.332,9805.586,9284.568
2015-05-27,9166.302,8812.667,8778.469,8206.067,8239.486,8110.566,8216.72,9702.328,10344.878,11038.632,11059.366,10674.142,10927.515,10989.544,11029.352,10755.745,10256.857,10005.888,10365.692,10056.007,10578.985,10693.795,10136.121,9609.74
2015-05-28,9139.718,8981.588,8782.484,8627.585,8468.904,8254.375,8714.057,9591.765,10407.27,11006.197,10954.507,10643.822,11018.325,11068.197,10991.501,10683.802,10186.528,9897.69,10372.309,10120.081,10518.13,10711.383,10585.68,10014.803
2015-05-29,9553.498,9270.962,9064.652,8768.289,8583.908,8191.303,8629.813,9608.053,10667.023,11233.955,11127.786,10779.239,10973.868,11240.368,11195.163,10949.978,10559.486,10212.086,10404.608,10410.758,10787.545,10838.382,10591.723,10110.29
2015-06-01,7630.872,7579.346,7396.741,7224.065,7221.841,7448.291,7934.71,9224.549,10042.678,10888.343,10838.329,10383.526,10762.637,10853.521,10686.696,10509.495,10055.927,9862.7,9767.248,8924.68,8953.455,8916.447,8872.01,8150.221
